,MPA_Code,Area,Cover,fishing_hours,fishing_hours_per_km2,fishing_hours_coverage
145,UK0030393,13801.99,13801.99,2908.268611111114,0.2107137167257123,2908.268611111114
54,ESZZ16002,3353.5359999999996,3353.5359999999996,646.7329166666663,0.1928510433961843,646.7329166666663
55,ESZZ16003,2829.2454,2829.2454,474.25944444444355,0.16762753928819452,474.25944444444355
20,DK008X190,620.47,620.47,94.41055555555552,0.15215974270400748,94.41055555555552
120,PLH990002,2430.5854999999997,2430.5854999999997,364.9933333333329,0.15016683565887023,364.9933333333329
96,HR3000161,525.7464,525.7464,78.36777777777783,0.1490600368880849,78.36777777777783
101,IE0003000,273.1386,273.1386,40.584583333333306,0.1485860414212173,40.584583333333306
48,ES7020017,694.8968,694.8968,102.00208333333332,0.14678738387244453,102.0020833333333
93,FR9301999,188.87,188.87,27.24291666666667,0.14424163004535748,27.242916666666666
128,SE0430187,1151.276,1151.276,165.05263888888908,0.14336496104226013,165.05263888888908
71,FR5300009,721.4036,721.4036,99.52277777777773,0.1379571404658609,99.52277777777773
74,FR5300015,266.17,266.17,33.90458333333333,0.12737943169152544,33.90458333333333
136,UK0019808,1512.7398999999998,1512.7398999999998,182.31763888888887,0.12052147159527483,182.3176388888889
69,FR5202012,494.41,494.41,59.48888888888887,0.12032298879247764,59.48888888888887
109,ITA040014,40.85,40.85,4.467638888888887,0.10936692506459943,4.467638888888887
144,UK0030385,965.75,965.75,105.0869444444445,0.10881381770069325,105.0869444444445
107,IT51A0024,110.22,110.22,11.896111111111113,0.10793060343958549,11.896111111111113
23,DK00FX010,669.86,669.86,61.007777777777775,0.09107541542677242,61.007777777777775
6,DE1003301,1698.95,1698.95,148.67708333333343,0.08751115885301711,148.67708333333343
47,ES7010017,299.9309,299.9309,24.74361111111111,0.08249770567524423,24.74361111111111
35,DK00VA261,319.1,319.1,25.62652777777779,0.08030876771475333,25.62652777777779
44,ES6110015,263.7544,263.7544,20.759305555555557,0.07870695448324486,20.759305555555557
106,IT5160014,154.83,154.83,10.114722222222222,0.0653279223808191,10.114722222222222
81,FR5302006,101.9759,101.9759,6.111249999999997,0.05992837523375619,6.111249999999997
127,SE0420360,1342.408,1342.408,75.35583333333334,0.056134821405514075,75.35583333333334
142,UK0030380,1373.44,1373.44,69.22638888888888,0.050403649878326594,69.22638888888888
91,FR9301592,1134.66,1134.66,54.945000000000014,0.04842419755697743,54.945000000000014
9,DE1251301,233.97,233.97,9.319166666666666,0.0398306050633272,9.319166666666666
124,ROSCI0269,123.11,123.11,4.7619444444444445,0.03868040325273694,4.7619444444444445
51,ESZZ15001,6100.6714,6100.6714,225.25694444444437,0.03692330395707665,225.2569444444444
79,FR5300033,177.69830000000002,177.69830000000002,6.464583333333333,0.036379545180417215,6.464583333333333
95,FR9402015,946.12,946.12,33.36902777777777,0.035269339806554945,33.36902777777777
67,FR3102005,333.06,333.06,10.677222222222222,0.03205795418910173,10.677222222222222
56,ESZZ16005,108.8796,108.8796,3.388333333333333,0.031120001665448194,3.388333333333333
49,ESZZ12002,3177.2377,3177.2377,88.40874999999997,0.027825664412832556,88.40874999999997
17,DE2016301,137.5,137.5,3.8088888888888888,0.0277010101010101,3.8088888888888883
89,FR7200813,77.9,77.9,2.070694444444444,0.0265814434460134,2.070694444444444
36,DK00VA299,31.58,31.58,0.7897222222222222,0.025007036802476956,0.7897222222222222
27,DK00VA171,150.34,150.34,3.7326388888888884,0.024827982498928352,3.732638888888889
138,UK0030355,1739.95,1739.95,42.77958333333333,0.024586673946569344,42.779583333333335
115,NL2008002,1540.58,1540.58,28.80333333333334,0.018696421693994044,28.80333333333334
12,DE1540302,384.16,384.16,6.262361111111112,0.016301439793604516,6.262361111111112
52,ESZZ15002,14328.4248,14328.4248,229.61555555555577,0.016025177837800827,229.61555555555577
59,FR2500085,153.85,153.85,2.328611111111111,0.015135593832376412,2.328611111111111
16,DE1749302,398.72,398.72,5.7363888888888885,0.014387010656322452,5.7363888888888885
14,DE1652301,1101.15,1101.15,15.727777777777783,0.014283047521026002,15.727777777777785
123,ROSCI0066,3362.002,3362.002,46.09527777777778,0.013710663401680838,46.09527777777778
10,DE1332301,279.92,279.92,3.76986111111111,0.013467637578990818,3.7698611111111107
122,PTMMD0001,6814.9869,6814.9869,89.54555555555561,0.013139505162593285,89.54555555555561
100,IE0002172,227.0185,227.0185,2.7238888888888892,0.011998532669755502,2.7238888888888892
2,BG0000573,483.4011,483.4011,5.5249999999999995,0.011429431997568892,5.5249999999999995
70,FR5202013,119.98,119.98,1.3630555555555555,0.011360689744587059,1.3630555555555555
25,DK00FX113,94.6,94.6,1.0019444444444445,0.010591378905332394,1.0019444444444445
43,ES5310005,307.5257,307.5257,3.2541666666666664,0.01058177143135246,3.2541666666666664
148,UK0030397,7376.14,7376.14,76.71249999999995,0.010400087308538062,76.71249999999995
18,DE2104301,625.48,625.48,6.484861111111111,0.010367815295630732,6.484861111111111
75,FR5300017,227.14,227.14,2.120138888888889,0.00933406220343792,2.120138888888889
13,DE1631392,618.3,618.3,5.319444444444443,0.008603338904163744,5.319444444444443
121,PTCON0062,22927.7848,22927.7848,187.4163888888889,0.008174203941799423,187.4163888888889
126,SE0330308,10511.113000000001,10511.113000000001,85.60791666666664,0.008144514921175962,85.60791666666664
40,DK00VA348,78.04,78.04,0.5597222222222222,0.007172247850105359,0.5597222222222222
125,ROSCI0281,135.922,135.922,0.8988888888888888,0.00661327002905261,0.8988888888888888
57,ESZZ16010,122.6848,122.6848,0.7431944444444444,0.006057754868120944,0.7431944444444444
119,NL9803061,440.52,440.52,2.2656944444444442,0.005143227196141933,2.2656944444444442
11,DE1339301,100.07,100.07,0.503888888888889,0.005035364133995094,0.503888888888889
140,UK0030369,1467.59,1467.59,7.301944444444445,0.004975466202716321,7.301944444444445
149,UK0030398,3249.49,3249.49,13.806666666666668,0.004248871874253089,13.806666666666668
112,MT0000110,835.4,835.4,3.540972222222223,0.004238654802755833,3.540972222222223
105,IT5160006,187.53,187.53,0.7077777777777777,0.0037742109410642444,0.7077777777777778
137,UK0030352,12331.15,12331.15,42.879444444444445,0.003477327292624325,42.87944444444444
139,UK0030363,4365.26,4365.26,14.309166666666668,0.0032779643518751843,14.309166666666668
94,FR9402013,1782.65,1782.65,5.040416666666667,0.0028274852981048813,5.040416666666667
31,DK00VA254,649.22,649.22,1.6523611111111112,0.0025451481949279307,1.6523611111111112
22,DK00DX146,133.57,133.57,0.28625,0.0021430710488882236,0.28625
135,UK0013694,268.4862,268.4862,0.5218055555555555,0.0019435097802254103,0.5218055555555555
114,NL2008001,4744.89,4744.89,7.335416666666667,0.0015459613745875387,7.335416666666667
134,UK0013116,1380.385,1380.385,1.3147222222222221,0.000952431547881368,1.3147222222222221
92,FR9301602,500.15,500.15,0.39874999999999994,0.0007972608217534739,0.39874999999999994
