JOTA Y A,121.93111111111111
JOVEN MIRMER,93.12027777777784
CAP VERMELL,77.86152777777778
EL BALERMA,65.67874999999998
KAPETAN MIHALIS,65.1223611111111
EL MONTGO,44.82694444444447
GEORGIOS X,37.3076388888889
PATRA 2,30.4277777777778
ES REFALAR,25.663611111111113
F\V CIRCE,25.04361111111111
NUEVO VIRGENCITA,24.14111111111111
MPARMPANTONIS,22.34986111111111
ROCA GROSSA,22.016111111111112
PUNTA DE`S VENT,16.026666666666667
MARIA GRAZIA,12.597361111111114
SAINTE SALSA 2,10.77875
BALEAR SEGUNDO,10.300972222222223
NOU-CAPDEPERA,9.785833333333333
MARIA-KONSTANTINOS,9.606805555555557
ROSINA,9.395833333333332
F/V PAPHIDO 2,8.940833333333334
F/V NENE FRANCINE,8.11125
F/V JOSEPH,8.048333333333334
FANEROMENI G,7.8661111111111115
DONATO PADRE,7.683194444444448
OSPREY,7.208194444444443
F/V GRACE DE DIEU 2,7.161805555555555
F/V DELTA D`OC,6.974861111111111
SPIGOLA PRIMA,6.919999999999999
ALEMAX GT,6.82875
F/V MARINETTE-GUY,6.5663888888888895
PRIMO,6.340277777777778
MIGUEL Y CRISTINA,6.20138888888889
PANAGIA FANEROMENI 2,6.01125
NUOVO EURIPIDE,5.488888888888889
F\V AARON,4.876666666666666
F/V BARRACUDA II,4.684722222222222
F/V RAYMOND ELISE 4,4.127777777777778
MP MARGHERITA,4.1175
F/V GEORGES LUCIEN,4.076944444444444
NVO EVA MARIA,3.8048611111111112
F/V PHILICHRIST,3.709444444444444
M\P BEATO PADRE PIO,3.5781944444444447
F/V MARIE JEREMY,3.50625
QUARTO,3.273888888888889
F/V CHEPHREN,3.2455555555555553
GIUSEPPA MADRE,3.0915277777777774
F/V FREZAL THIBAUT,3.062638888888889
ER PIU,2.766805555555555
BENJAMIN JEREMY,2.5727777777777776
NUBE BLANCA,2.426527777777778
PLAYA TORRENUEVA,2.42125
F/V BERNADETTE,2.415277777777778
CIUTAT DE MAO,2.3223611111111113
SAN SILVESTRO,2.1623611111111107
CODITREMULLA----,2.15125
STEFANO C.,2.032083333333333
F/V MALINE,1.7622222222222224
F/V DANIELE MARIE,1.7386111111111113
JULIARTH,1.665138888888889
POSEIDON,1.6206944444444442
FRATELLI LITRICO,1.6095833333333331
GIOVANNI,1.5972222222222219
ARGYROYLA K,1.5790277777777777
N.PESCE VOLANTE,1.5541666666666667
STELLA ROSSA,1.4636111111111112
F/V MATTHIAS-THOMAS,1.415
F/V BELLE ILE 2,1.3752777777777778
F/V MEDITERRANEE,1.0487500000000003
F/V DENIS ALEX,1.0406944444444446
MARIA SORELLA,0.9702777777777778
MORLE` I^,0.9502777777777778
F/V LOU SETORI 2,0.9130555555555556
F/V VINCENZO,0.8731944444444445
SAVERIO-P,0.8694444444444445
F/V L`ANGEVINE,0.8656944444444445
FRANCA.TALLARICO,0.824861111111111
BARRACUDA,0.7900000000000001
GUAPO  C,0.7583333333333333
LOUIS ELIE 2,0.7529166666666667
ANTEDON 2,0.6761111111111111
F/V LAISSE DIRE,0.6751388888888887
ANTARES,0.6654166666666667
JOSE MARIA HERNANDEZ,0.5472222222222223
F/V ANDRE LIVIA,0.5333333333333332
PIRAMIDE,0.5180555555555555
M/P VINCENZO B,0.4083333333333333
EMMAUS-- ----- -----,0.4038888888888889
RINASCITA,0.31666666666666665
PANAGIOTA 2,0.3154166666666667
TEQUILA,0.3019444444444445
SARA,0.29166666666666663
ORSA MAGGIORE II,0.2861111111111111
F/V MARYDIDOU,0.28347222222222224
GALEONE,0.2709722222222222
BAHIA MARBELLA,0.2694444444444445
MARIE-PIERRE-ANDRE,0.2680555555555555
CARLO PADRE,0.26666666666666666
SISINNIO PADRE,0.26666666666666666
MARJUPE SEGUNDO,0.2648611111111111
MP MARIA SALVATRICE,0.26097222222222227
ARDITO II,0.2555555555555556
MISS MARY,0.12749999999999997
